fID,eID,K,weights,algorithm,Dask Used,Preprocessing Technique,Classifier,Rows,Columns,Classes,Accuracy,F1 Score_1,Precision_1,Recall_1,F1 Score,Precision,Recall,time
51d170bf-4964-4990-b3b1-6cb4310b1e4a,4367a024-235f-435c-9018-f130b9e60d82,37,distance,ball_tree,FALSE,None,KNN,1000,21,2,0.688,0.810679612,0.713675214,0.938202247,0.810679612,0.713675214,0.938202247,0.005389115
51d170bf-4964-4990-b3b1-6cb4310b1e4a,e1e6d0fa-b12c-48d0-89ad-31d626f43c76,37,distance,brute,FALSE,None,KNN,1000,21,2,0.688,0.810679612,0.713675214,0.938202247,0.810679612,0.713675214,0.938202247,0.001794124
51d170bf-4964-4990-b3b1-6cb4310b1e4a,8c45a3f8-2ff8-4986-ab45-fa8422211a8b,39,uniform,auto,FALSE,None,KNN,1000,21,2,0.704,0.822966507,0.716666667,0.966292135,0.822966507,0.716666667,0.966292135,0.007160621
51d170bf-4964-4990-b3b1-6cb4310b1e4a,ff006b41-ac00-42ed-b20c-7eb237da8506,39,uniform,ball_tree,FALSE,None,KNN,1000,21,2,0.704,0.822966507,0.716666667,0.966292135,0.822966507,0.716666667,0.966292135,0.005418796
51d170bf-4964-4990-b3b1-6cb4310b1e4a,b0b6551e-7db3-4f6d-bace-5b6c7b58c3df,39,uniform,brute,FALSE,None,KNN,1000,21,2,0.704,0.822966507,0.716666667,0.966292135,0.822966507,0.716666667,0.966292135,0.00186753
51d170bf-4964-4990-b3b1-6cb4310b1e4a,39537d79-7465-4dcb-b02c-44c369c7adea,39,distance,auto,FALSE,None,KNN,1000,21,2,0.692,0.813559322,0.714893617,0.943820225,0.813559322,0.714893617,0.943820225,0.006905985
51d170bf-4964-4990-b3b1-6cb4310b1e4a,c5a773f8-cb9e-427c-9830-34ea7c718363,39,distance,ball_tree,FALSE,None,KNN,1000,21,2,0.692,0.813559322,0.714893617,0.943820225,0.813559322,0.714893617,0.943820225,0.005587948
51d170bf-4964-4990-b3b1-6cb4310b1e4a,e09c58ee-9928-4083-adf7-77ffa0ba7ad8,39,distance,brute,FALSE,None,KNN,1000,21,2,0.692,0.813559322,0.714893617,0.943820225,0.813559322,0.714893617,0.943820225,0.001959897
51d170bf-4964-4990-b3b1-6cb4310b1e4a,b6db39f4-65cd-438f-b012-c66e2c4c2722,41,uniform,auto,FALSE,None,KNN,1000,21,2,0.716,0.831353919,0.720164609,0.983146067,0.831353919,0.720164609,0.983146067,0.006904279
51d170bf-4964-4990-b3b1-6cb4310b1e4a,d6a28ddc-a822-4c30-ba96-4a620389b329,41,uniform,ball_tree,FALSE,None,KNN,1000,21,2,0.716,0.831353919,0.720164609,0.983146067,0.831353919,0.720164609,0.983146067,0.005546228
51d170bf-4964-4990-b3b1-6cb4310b1e4a,6b86a074-0b47-4bed-9ecd-0c8392030205,41,uniform,brute,FALSE,None,KNN,1000,21,2,0.716,0.831353919,0.720164609,0.983146067,0.831353919,0.720164609,0.983146067,0.002146035
51d170bf-4964-4990-b3b1-6cb4310b1e4a,986ed1c3-9647-401f-8004-8f7a265632d4,41,distance,auto,FALSE,None,KNN,1000,21,2,0.696,0.816425121,0.716101695,0.949438202,0.816425121,0.716101695,0.949438202,0.007007149
51d170bf-4964-4990-b3b1-6cb4310b1e4a,59a3e07e-1f98-4ffc-a7cb-ff0bb3308f90,41,distance,ball_tree,FALSE,None,KNN,1000,21,2,0.696,0.816425121,0.716101695,0.949438202,0.816425121,0.716101695,0.949438202,0.00538881
51d170bf-4964-4990-b3b1-6cb4310b1e4a,48f12fc6-51d9-4265-8d14-844cd3e49eb4,41,distance,brute,FALSE,None,KNN,1000,21,2,0.696,0.816425121,0.716101695,0.949438202,0.816425121,0.716101695,0.949438202,0.001845369
51d170bf-4964-4990-b3b1-6cb4310b1e4a,3cefe711-b063-46ea-b886-3f4aa9542c5b,43,uniform,auto,FALSE,None,KNN,1000,21,2,0.72,0.834123223,0.721311475,0.988764045,0.834123223,0.721311475,0.988764045,0.007304227
51d170bf-4964-4990-b3b1-6cb4310b1e4a,0ecb82f6-3b4d-4903-9855-88ea5926a4e5,43,uniform,ball_tree,FALSE,None,KNN,1000,21,2,0.72,0.834123223,0.721311475,0.988764045,0.834123223,0.721311475,0.988764045,0.005474984
51d170bf-4964-4990-b3b1-6cb4310b1e4a,8c2ff96f-f0e7-416c-b503-6235e0aeb071,43,uniform,brute,FALSE,None,KNN,1000,21,2,0.72,0.834123223,0.721311475,0.988764045,0.834123223,0.721311475,0.988764045,0.001905521
51d170bf-4964-4990-b3b1-6cb4310b1e4a,322a48da-6bd9-45e2-9058-7d7af4384bed,43,distance,auto,FALSE,None,KNN,1000,21,2,0.696,0.816425121,0.716101695,0.949438202,0.816425121,0.716101695,0.949438202,0.00700004
51d170bf-4964-4990-b3b1-6cb4310b1e4a,ea908619-6e51-4d7c-83ef-429314f04303,43,distance,ball_tree,FALSE,None,KNN,1000,21,2,0.696,0.816425121,0.716101695,0.949438202,0.816425121,0.716101695,0.949438202,0.00538943
51d170bf-4964-4990-b3b1-6cb4310b1e4a,37192593-abde-4e1c-8f6b-0e5275a96b22,43,distance,brute,FALSE,None,KNN,1000,21,2,0.696,0.816425121,0.716101695,0.949438202,0.816425121,0.716101695,0.949438202,0.001811626
51d170bf-4964-4990-b3b1-6cb4310b1e4a,1753c2c4-eff4-42e5-86c1-da70a22fd9c8,45,uniform,auto,FALSE,None,KNN,1000,21,2,0.724,0.836879433,0.72244898,0.994382022,0.836879433,0.72244898,0.994382022,0.006934673
51d170bf-4964-4990-b3b1-6cb4310b1e4a,91dfb9c1-e02e-403b-a344-39094bfff110,45,uniform,ball_tree,FALSE,None,KNN,1000,21,2,0.724,0.836879433,0.72244898,0.994382022,0.836879433,0.72244898,0.994382022,0.005441543
51d170bf-4964-4990-b3b1-6cb4310b1e4a,265be2f8-0c02-4fd7-808c-fc6f845a133f,45,uniform,brute,FALSE,None,KNN,1000,21,2,0.724,0.836879433,0.72244898,0.994382022,0.836879433,0.72244898,0.994382022,0.001825871
51d170bf-4964-4990-b3b1-6cb4310b1e4a,f0155a5a-1ecf-4c9b-8e77-761344d1bed4,45,distance,auto,FALSE,None,KNN,1000,21,2,0.696,0.816425121,0.716101695,0.949438202,0.816425121,0.716101695,0.949438202,0.006932205
51d170bf-4964-4990-b3b1-6cb4310b1e4a,0e806494-29f1-47d3-a272-f7ef1f9ec547,45,distance,ball_tree,FALSE,None,KNN,1000,21,2,0.696,0.816425121,0.716101695,0.949438202,0.816425121,0.716101695,0.949438202,0.005677146
51d170bf-4964-4990-b3b1-6cb4310b1e4a,2a910466-6406-44ef-bbe6-29cba0bf19f5,45,distance,brute,FALSE,None,KNN,1000,21,2,0.696,0.816425121,0.716101695,0.949438202,0.816425121,0.716101695,0.949438202,0.001963801
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,a8ad8049-5725-4c9f-bfee-0b81688434d9,3,uniform,auto,FALSE,None,KNN,3468,971,2,0.826989619,0.811557789,0.894736842,0.742528736,0.811557789,0.894736842,0.742528736,0.230038709
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,1c428d37-aaea-44ba-b85d-c9ba22862ba2,3,uniform,ball_tree,FALSE,None,KNN,3468,971,2,0.826989619,0.811557789,0.894736842,0.742528736,0.811557789,0.894736842,0.742528736,0.152223482
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,9f2c052e-fc0b-4f02-8265-314d9bbc8b06,3,uniform,brute,FALSE,None,KNN,3468,971,2,0.826989619,0.811557789,0.894736842,0.742528736,0.811557789,0.894736842,0.742528736,0.001793839
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,6b6ec91a-9aa6-4bc0-b9f7-691b1c2555a3,3,distance,auto,FALSE,None,KNN,3468,971,2,0.826989619,0.811557789,0.894736842,0.742528736,0.811557789,0.894736842,0.742528736,0.233842955
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,f325c54c-39e7-4a61-b43f-07b267c16024,3,distance,ball_tree,FALSE,None,KNN,3468,971,2,0.826989619,0.811557789,0.894736842,0.742528736,0.811557789,0.894736842,0.742528736,0.142162867
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,075302d3-d20b-409b-a45c-5a27372303dd,3,distance,brute,FALSE,None,KNN,3468,971,2,0.826989619,0.811557789,0.894736842,0.742528736,0.811557789,0.894736842,0.742528736,0.001767404
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,359d4a9b-34cf-497f-a461-c9300d3ac04c,5,uniform,auto,FALSE,None,KNN,3468,971,2,0.837370242,0.821292776,0.915254237,0.744827586,0.821292776,0.915254237,0.744827586,0.250914006
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,c833d8fe-6daa-4466-98b0-5bdb820b0174,5,uniform,ball_tree,FALSE,None,KNN,3468,971,2,0.837370242,0.821292776,0.915254237,0.744827586,0.821292776,0.915254237,0.744827586,0.141183555
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,dbdf72b6-e89f-401b-a1f5-76c13e557a83,5,uniform,brute,FALSE,None,KNN,3468,971,2,0.837370242,0.821292776,0.915254237,0.744827586,0.821292776,0.915254237,0.744827586,0.001772466
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,5da71f45-cd13-487e-ae6c-ea8b5ff34f47,5,distance,auto,FALSE,None,KNN,3468,971,2,0.837370242,0.821292776,0.915254237,0.744827586,0.821292776,0.915254237,0.744827586,0.217416729
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,c05db62a-37ec-494f-b050-cd8cfe6d7e3c,5,distance,ball_tree,FALSE,None,KNN,3468,971,2,0.837370242,0.821292776,0.915254237,0.744827586,0.821292776,0.915254237,0.744827586,0.141939108
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,ccfc9f00-90ce-4157-8d1b-af8ea91b0122,5,distance,brute,FALSE,None,KNN,3468,971,2,0.837370242,0.821292776,0.915254237,0.744827586,0.821292776,0.915254237,0.744827586,0.001719883
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,fead669a-e4e2-4745-9755-6dd51ff3b96f,7,uniform,auto,FALSE,None,KNN,3468,971,2,0.85467128,0.840101523,0.937677054,0.76091954,0.840101523,0.937677054,0.76091954,0.246242248
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,649187ad-f5b1-4408-b427-990713037eeb,7,uniform,ball_tree,FALSE,None,KNN,3468,971,2,0.85467128,0.840101523,0.937677054,0.76091954,0.840101523,0.937677054,0.76091954,0.144310389
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,b3a048a2-3c84-4c5e-95e5-e1386fe7406c,7,uniform,brute,FALSE,None,KNN,3468,971,2,0.85467128,0.840101523,0.937677054,0.76091954,0.840101523,0.937677054,0.76091954,0.00170567
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,849d7b57-58d5-4f4a-bd41-f58b109be212,7,distance,auto,FALSE,None,KNN,3468,971,2,0.85467128,0.840101523,0.937677054,0.76091954,0.840101523,0.937677054,0.76091954,0.21526366
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,21f07d17-08fd-4a59-95a3-f11d7979af8a,7,distance,ball_tree,FALSE,None,KNN,3468,971,2,0.85467128,0.840101523,0.937677054,0.76091954,0.840101523,0.937677054,0.76091954,0.146327061
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,773d6253-9a5d-48bb-a398-63b77a3c20d4,7,distance,brute,FALSE,None,KNN,3468,971,2,0.85467128,0.840101523,0.937677054,0.76091954,0.840101523,0.937677054,0.76091954,0.00172074
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,53adcf91-0cd3-4017-aa3a-774c4d6b9bf1,9,uniform,auto,FALSE,None,KNN,3468,971,2,0.848904268,0.834386852,0.926966292,0.75862069,0.834386852,0.926966292,0.75862069,0.237425978
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,49b739a6-34ae-4667-a061-6bec5c685295,9,uniform,ball_tree,FALSE,None,KNN,3468,971,2,0.848904268,0.834386852,0.926966292,0.75862069,0.834386852,0.926966292,0.75862069,0.14500476
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,7ff5322d-3733-4ace-ab9c-896c2258178b,9,uniform,brute,FALSE,None,KNN,3468,971,2,0.848904268,0.834386852,0.926966292,0.75862069,0.834386852,0.926966292,0.75862069,0.001721064
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,ded07724-a3a9-4482-a667-8ec0718222d0,9,distance,auto,FALSE,None,KNN,3468,971,2,0.848904268,0.834386852,0.926966292,0.75862069,0.834386852,0.926966292,0.75862069,0.214302987
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,822cdee0-2999-4f88-bc5a-c686eae2c23b,9,distance,ball_tree,FALSE,None,KNN,3468,971,2,0.848904268,0.834386852,0.926966292,0.75862069,0.834386852,0.926966292,0.75862069,0.141711881
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,1fd55ce0-73bf-44c9-b6af-b732dd838960,9,distance,brute,FALSE,None,KNN,3468,971,2,0.848904268,0.834386852,0.926966292,0.75862069,0.834386852,0.926966292,0.75862069,0.00172069
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,2ab14fa5-110a-4808-81a6-8fe12366d1c5,11,uniform,auto,FALSE,None,KNN,3468,971,2,0.851211073,0.836915297,0.929775281,0.76091954,0.836915297,0.929775281,0.76091954,0.239019025
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,9a1afaaf-2028-42e7-b2f1-3ae5991cdb54,11,uniform,ball_tree,FALSE,None,KNN,3468,971,2,0.851211073,0.836915297,0.929775281,0.76091954,0.836915297,0.929775281,0.76091954,0.142273521
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,bd582b56-f1ee-46fa-b881-aa9bc937e227,11,uniform,brute,FALSE,None,KNN,3468,971,2,0.851211073,0.836915297,0.929775281,0.76091954,0.836915297,0.929775281,0.76091954,0.001781146
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,0430ba1b-2f39-48a1-8f84-d482ddfd1c73,11,distance,auto,FALSE,None,KNN,3468,971,2,0.851211073,0.836915297,0.929775281,0.76091954,0.836915297,0.929775281,0.76091954,0.220649871
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,9f690279-4faf-4d2a-a16f-8f96cdfa1e21,11,distance,ball_tree,FALSE,None,KNN,3468,971,2,0.851211073,0.836915297,0.929775281,0.76091954,0.836915297,0.929775281,0.76091954,0.142097328
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,b6eb88fb-a07c-4980-9765-396afe03e5e4,11,distance,brute,FALSE,None,KNN,3468,971,2,0.851211073,0.836915297,0.929775281,0.76091954,0.836915297,0.929775281,0.76091954,0.001764204
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,b5932977-c924-4a8c-be1b-dbf5b98efb06,13,uniform,auto,FALSE,None,KNN,3468,971,2,0.841983852,0.823225806,0.938235294,0.733333333,0.823225806,0.938235294,0.733333333,0.238207149
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,744fb031-c920-45d2-bced-6ade7013b2a8,13,uniform,ball_tree,FALSE,None,KNN,3468,971,2,0.841983852,0.823225806,0.938235294,0.733333333,0.823225806,0.938235294,0.733333333,0.147118442
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,70e53188-863d-43a6-b66f-ca3829fe83f7,13,uniform,brute,FALSE,None,KNN,3468,971,2,0.841983852,0.823225806,0.938235294,0.733333333,0.823225806,0.938235294,0.733333333,0.001773992
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,9536aee6-3574-4f3f-a4bb-3c36c31f843c,13,distance,auto,FALSE,None,KNN,3468,971,2,0.841983852,0.823225806,0.938235294,0.733333333,0.823225806,0.938235294,0.733333333,0.214139189
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,42059da5-03e5-4a34-b089-0909d9319bfa,13,distance,ball_tree,FALSE,None,KNN,3468,971,2,0.841983852,0.823225806,0.938235294,0.733333333,0.823225806,0.938235294,0.733333333,0.141412804
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,9452f688-d342-4c10-93eb-20c6e976a3fe,13,distance,brute,FALSE,None,KNN,3468,971,2,0.841983852,0.823225806,0.938235294,0.733333333,0.823225806,0.938235294,0.733333333,0.001769841
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,84213bed-848d-41dd-9804-41e65b9499e4,15,uniform,auto,FALSE,None,KNN,3468,971,2,0.843137255,0.825192802,0.935860058,0.737931034,0.825192802,0.935860058,0.737931034,0.244704838
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,7838b740-f851-412c-8480-bc2bba09904d,15,uniform,ball_tree,FALSE,None,KNN,3468,971,2,0.843137255,0.825192802,0.935860058,0.737931034,0.825192802,0.935860058,0.737931034,0.143044015
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,7b32f819-e761-416f-9afe-ff844e34ac6e,15,uniform,brute,FALSE,None,KNN,3468,971,2,0.843137255,0.825192802,0.935860058,0.737931034,0.825192802,0.935860058,0.737931034,0.001735972
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,b47f5202-e25e-4c87-a479-912d16d8c2f3,15,distance,auto,FALSE,None,KNN,3468,971,2,0.843137255,0.825192802,0.935860058,0.737931034,0.825192802,0.935860058,0.737931034,0.21975269
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,56b3a09a-884a-4006-ad8b-7f6629e315e7,15,distance,ball_tree,FALSE,None,KNN,3468,971,2,0.843137255,0.825192802,0.935860058,0.737931034,0.825192802,0.935860058,0.737931034,0.142103803
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,6c911a5f-9876-45cc-94be-681fb7eaad56,15,distance,brute,FALSE,None,KNN,3468,971,2,0.843137255,0.825192802,0.935860058,0.737931034,0.825192802,0.935860058,0.737931034,0.001702647
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,e8b266b7-76d1-4ddd-90cc-32824c531619,17,uniform,auto,FALSE,None,KNN,3468,971,2,0.838523645,0.818181818,0.940298507,0.724137931,0.818181818,0.940298507,0.724137931,0.238570452
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,78674f4b-779d-4930-887c-de69d2aa5d18,17,uniform,ball_tree,FALSE,None,KNN,3468,971,2,0.838523645,0.818181818,0.940298507,0.724137931,0.818181818,0.940298507,0.724137931,0.142113151
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,e2def5a2-1285-4342-889f-a5faa987ed04,17,uniform,brute,FALSE,None,KNN,3468,971,2,0.838523645,0.818181818,0.940298507,0.724137931,0.818181818,0.940298507,0.724137931,0.001778919
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,d4dc8f0e-4a9c-4422-90c2-b9dce27dffdb,17,distance,auto,FALSE,None,KNN,3468,971,2,0.838523645,0.818181818,0.940298507,0.724137931,0.818181818,0.940298507,0.724137931,0.214494699
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,d6ff5f54-6daa-49c5-b15e-37af2ab38192,17,distance,ball_tree,FALSE,None,KNN,3468,971,2,0.838523645,0.818181818,0.940298507,0.724137931,0.818181818,0.940298507,0.724137931,0.142070119
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,8f2e3e6a-df12-4614-a6e0-686ca3bc93ab,17,distance,brute,FALSE,None,KNN,3468,971,2,0.838523645,0.818181818,0.940298507,0.724137931,0.818181818,0.940298507,0.724137931,0.001779423
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,2263ea2b-b462-45f2-a6ff-47d0747885eb,19,uniform,auto,FALSE,None,KNN,3468,971,2,0.84083045,0.818421053,0.956923077,0.714942529,0.818421053,0.956923077,0.714942529,0.238154214
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,ea39d581-78b4-405a-8e5c-54c2afdbfa16,19,uniform,ball_tree,FALSE,None,KNN,3468,971,2,0.84083045,0.818421053,0.956923077,0.714942529,0.818421053,0.956923077,0.714942529,0.146164161
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,d3440f1b-8334-4cfc-aecb-8fcd3c5616f3,19,uniform,brute,FALSE,None,KNN,3468,971,2,0.84083045,0.818421053,0.956923077,0.714942529,0.818421053,0.956923077,0.714942529,0.001732164
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,c5b75a0a-6246-4f46-924f-e09814deaeaf,19,distance,auto,FALSE,None,KNN,3468,971,2,0.84083045,0.818421053,0.956923077,0.714942529,0.818421053,0.956923077,0.714942529,0.223977589
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,58a9abd2-dcc0-4c9c-a3b6-8f3615e2b7ec,19,distance,ball_tree,FALSE,None,KNN,3468,971,2,0.84083045,0.818421053,0.956923077,0.714942529,0.818421053,0.956923077,0.714942529,0.14116889
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,01e57f60-0e9a-48c5-858a-95f5f1c25261,19,distance,brute,FALSE,None,KNN,3468,971,2,0.84083045,0.818421053,0.956923077,0.714942529,0.818421053,0.956923077,0.714942529,0.001746186
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,bae070c1-66fc-452f-af03-669d179ee2ea,21,uniform,auto,FALSE,None,KNN,3468,971,2,0.841983852,0.821382008,0.948795181,0.724137931,0.821382008,0.948795181,0.724137931,0.25046218
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,df3e1f68-7bb5-4913-b098-956b6571e584,21,uniform,ball_tree,FALSE,None,KNN,3468,971,2,0.841983852,0.821382008,0.948795181,0.724137931,0.821382008,0.948795181,0.724137931,0.14193373
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,22fd94f8-0191-4b06-a660-b6f53277cfe7,21,uniform,brute,FALSE,None,KNN,3468,971,2,0.841983852,0.821382008,0.948795181,0.724137931,0.821382008,0.948795181,0.724137931,0.001745324
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,4c5e9e59-aed9-47ff-a2ae-cb0524ae82e6,21,distance,auto,FALSE,None,KNN,3468,971,2,0.841983852,0.821382008,0.948795181,0.724137931,0.821382008,0.948795181,0.724137931,0.215103654
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,18cf4bd2-862c-48ea-a244-b20cb5d7b6fa,21,distance,ball_tree,FALSE,None,KNN,3468,971,2,0.841983852,0.821382008,0.948795181,0.724137931,0.821382008,0.948795181,0.724137931,0.14419463
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,99552a2e-d7cd-48b7-bfd2-8d24b5a5254e,21,distance,brute,FALSE,None,KNN,3468,971,2,0.841983852,0.821382008,0.948795181,0.724137931,0.821382008,0.948795181,0.724137931,0.001759581
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,a460594b-7878-42c7-9674-0c04c66ac226,23,uniform,auto,FALSE,None,KNN,3468,971,2,0.84083045,0.819843342,0.948640483,0.72183908,0.819843342,0.948640483,0.72183908,0.243074669
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,f7ec611e-f8ec-4b3e-820e-1c9dfb80b680,23,uniform,ball_tree,FALSE,None,KNN,3468,971,2,0.84083045,0.819843342,0.948640483,0.72183908,0.819843342,0.948640483,0.72183908,0.141145229
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,32d1dbb8-1b16-4e40-8417-e4940123481a,23,uniform,brute,FALSE,None,KNN,3468,971,2,0.84083045,0.819843342,0.948640483,0.72183908,0.819843342,0.948640483,0.72183908,0.001781024
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,65b3bd70-7a5f-490c-a823-52d461173070,23,distance,auto,FALSE,None,KNN,3468,971,2,0.84083045,0.819843342,0.948640483,0.72183908,0.819843342,0.948640483,0.72183908,0.216620743
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,449a97e5-aaca-427b-b17b-4892d73a8473,23,distance,ball_tree,FALSE,None,KNN,3468,971,2,0.84083045,0.819843342,0.948640483,0.72183908,0.819843342,0.948640483,0.72183908,0.143108863
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,867881c3-a5d6-4097-a9b6-6231ef281dee,23,distance,brute,FALSE,None,KNN,3468,971,2,0.84083045,0.819843342,0.948640483,0.72183908,0.819843342,0.948640483,0.72183908,0.001720651
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,d498e9e9-401c-4dcb-9321-d421e133528f,25,uniform,auto,FALSE,None,KNN,3468,971,2,0.844290657,0.823529412,0.954545455,0.724137931,0.823529412,0.954545455,0.724137931,0.237830635
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,2bd407bd-af27-4e31-916f-c85b2b675b9c,25,uniform,ball_tree,FALSE,None,KNN,3468,971,2,0.844290657,0.823529412,0.954545455,0.724137931,0.823529412,0.954545455,0.724137931,0.142134316
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,65e925ec-f009-4790-8e1e-adc382af8214,25,uniform,brute,FALSE,None,KNN,3468,971,2,0.844290657,0.823529412,0.954545455,0.724137931,0.823529412,0.954545455,0.724137931,0.001718609
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,56163be1-6d21-4353-9d28-3a5592ed571d,25,distance,auto,FALSE,None,KNN,3468,971,2,0.844290657,0.823529412,0.954545455,0.724137931,0.823529412,0.954545455,0.724137931,0.223636268
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,7ad029d6-5dae-4697-b3b3-bab2a784dd5e,25,distance,ball_tree,FALSE,None,KNN,3468,971,2,0.844290657,0.823529412,0.954545455,0.724137931,0.823529412,0.954545455,0.724137931,0.148566384
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,2ebb6402-f357-4084-8ae0-03eaba2187c9,25,distance,brute,FALSE,None,KNN,3468,971,2,0.844290657,0.823529412,0.954545455,0.724137931,0.823529412,0.954545455,0.724137931,0.001770312
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,05fd20f4-7af7-4f46-8076-c4cd879fac61,27,uniform,auto,FALSE,None,KNN,3468,971,2,0.841983852,0.819973719,0.957055215,0.717241379,0.819973719,0.957055215,0.717241379,0.233619879
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,76a94221-f130-4de2-b8b0-29f4a644a1ad,27,uniform,ball_tree,FALSE,None,KNN,3468,971,2,0.841983852,0.819973719,0.957055215,0.717241379,0.819973719,0.957055215,0.717241379,0.1420994
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,8a1dc3a2-071c-4a0d-bddc-e0b87bc496ad,27,uniform,brute,FALSE,None,KNN,3468,971,2,0.841983852,0.819973719,0.957055215,0.717241379,0.819973719,0.957055215,0.717241379,0.001737269
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,cfa71853-5f26-4bbd-8a04-d3357d78fcee,27,distance,auto,FALSE,None,KNN,3468,971,2,0.841983852,0.819973719,0.957055215,0.717241379,0.819973719,0.957055215,0.717241379,0.213567236
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,be044a79-6ed8-4244-b9c7-9a3a43261b1b,27,distance,ball_tree,FALSE,None,KNN,3468,971,2,0.841983852,0.819973719,0.957055215,0.717241379,0.819973719,0.957055215,0.717241379,0.146896351
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,f3a81f25-d0ba-45da-bae3-6b81b1b95a7d,27,distance,brute,FALSE,None,KNN,3468,971,2,0.841983852,0.819973719,0.957055215,0.717241379,0.819973719,0.957055215,0.717241379,0.001794224
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,179996c4-75e8-4658-89cc-30ad181d33d2,29,uniform,auto,FALSE,None,KNN,3468,971,2,0.828143022,0.80159787,0.952531646,0.691954023,0.80159787,0.952531646,0.691954023,0.24658799
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,677f8407-a74f-4b77-8fd6-c41e533b6347,29,uniform,ball_tree,FALSE,None,KNN,3468,971,2,0.828143022,0.80159787,0.952531646,0.691954023,0.80159787,0.952531646,0.691954023,0.141157218
